SET 1	SET 2	SET 3	SET 4	SET 5
6.17	4.81	6.33	4.75	5.51
6.13	6.22	6.22	6.08	6.97
7.37	6.8	6.92	6.77	7.31
5.2	8.16	5.6	6.23	7.5
6.01	7.74	6.19	6.3	7.2
6.7	7.05	6.44	6.37	7.15
6.23	6.06	5.85	7.15	6.08
7.49	6.33	6.65	7.03	7.01
6.36	6.48	6.42	6.59	6.09
7.27	5.77	5.41	5.31	6.18
5.31	6.1	7.61	6.38	6.05
6.53	7.34	7.39	5.12	5.33
5.12	7.38	6.58	5.67	6.77
7.78	6.52	5.4	5.47	7.51
6.62	7.32	5.33	7.26	5.8
5.17	5.09	6.17	6.76	5.94
8.17	7.54	7.02	7.54	6.61
6.41	6.45	5.99	4.7	6.8
7.19	6.75	6.23	6.24	6.66
6.82	6.91	7.04	6.55	5.52
